filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
HEK293T.fast5	0a111119-1be6-4715-b9ba-2838843bb3cd	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	181	1	15312.956839	3.395750	1022	TRUE	15315.131806	367	1.220784	84	13.273464	0.000000	92.293243	16.062836	92.293243	16.062836
HEK293T.fast5	018f1d3d-85d2-4bf6-a49e-955e9af16625	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	136	4	15519.174635	8.638114	2601	TRUE	15521.001992	2051	6.810757	513	12.336867	0.000000	90.115234	15.518333	90.115234	15.518333
HEK293T.fast5	0127ead0-1962-46c6-ab8f-3a2698a362ef	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	198	2	15315.644754	10.804449	3254	TRUE	15318.305777	2452	8.143426	521	10.740586	0.000000	83.445068	12.115190	83.445068	12.115190
HEK293T.fast5	02020806-df89-4763-b75e-5d758f5ffcd9	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	458	3	15362.480744	23.410027	7051	TRUE	15362.480744	7051	23.410027	887	9.857517	0.000000	80.178055	11.026184	80.178055	11.026184
HEK293T.fast5	016cd19d-76f2-4d82-b31b-8dc3ff471451	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	240	2	15472.303453	9.791501	2949	TRUE	15472.510292	2886	9.584661	482	9.397207	0.000000	79.361298	11.842938	79.361298	11.842938
HEK293T.fast5	005a1f4b-7523-4927-8eb2-0cbd00a601f7	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	182	1	15359.645750	21.690571	6533	TRUE	15361.103918	6094	20.232404	1489	11.842047	0.000000	88.345596	14.565453	88.345596	14.565453
HEK293T.fast5	0a3f2b0a-651a-465e-addd-4cc277d10c8d	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	105	3	15493.578021	12.233400	3684	TRUE	15495.476428	3112	10.334993	744	11.603452	0.000000	87.528847	12.795818	87.528847	12.795818
HEK293T.fast5	01cbe9a3-5bc4-47f7-b074-ff2b3c08366f	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	261	1	15397.066069	26.023904	7838	TRUE	15401.603586	6471	21.486388	1121	10.758164	0.000000	83.581200	12.931944	83.581200	12.931944
HEK293T.fast5	02ca971d-2976-4980-9e55-2e209269b711	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	150	2	15344.956175	16.251328	4894	TRUE	15349.412019	3552	11.795485	498	8.806467	0.000000	90.251358	12.795818	90.251358	12.795818
HEK293T.fast5	036a5fdd-ef28-4e7e-b838-bd6d5a73e514	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	346	1	15465.683267	13.086653	3941	TRUE	15467.869190	3283	10.900730	808	11.854774	0.000000	89.842979	13.748698	89.842979	13.748698
HEK293T.fast5	04518ecd-9202-4067-9572-9f22da9c4213	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	322	1	15511.667663	11.817729	3559	TRUE	15511.877822	3496	11.607570	476	9.057244	0.000000	83.581200	14.293201	83.581200	14.293201
HEK293T.fast5	046e1c69-528d-4ed8-b26b-fbf3c5e25456	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	400	4	15349.775896	14.505644	4369	TRUE	15351.813413	3755	12.468127	821	11.952075	0.000000	94.743507	13.068069	94.743507	13.068069
HEK293T.fast5	06b22f10-2fde-47fd-9d25-865a4b8dd97e	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	181	1	15373.499336	11.477092	3456	TRUE	15373.725100	3388	11.251328	575	10.317526	0.000000	90.931984	14.157076	90.931984	14.157076
HEK293T.fast5	24ecdc0d-d7dd-477b-989d-0169afd754d8	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	390	1	15394.618526	10.023240	3019	TRUE	15397.150730	2256	7.491036	333	7.784820	0.000000	96.921516	8.439795	96.921516	8.439795
HEK293T.fast5	05034fc8-43a7-4054-8185-ddee8482fa76	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	6	4	15311.727756	13.675963	4119	TRUE	15313.399402	3615	12.004316	846	11.559620	0.000000	88.073349	12.523567	88.073349	12.523567
HEK293T.fast5	0662ebaf-5b2b-463a-8d37-dda813a4b0af	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	223	3	15331.473440	17.402390	5241	TRUE	15332.771248	4850	16.104582	1521	9.999489	0.000000	80.858681	12.659693	80.858681	12.659693
HEK293T.fast5	252e451d-0478-469d-9beb-27cb020c0b97	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	27	1	15411.290505	22.775564	6860	TRUE	15413.356242	6237	20.709827	1420	11.046383	0.000000	86.167587	13.748698	86.167587	13.748698
HEK293T.fast5	02ae5e67-d70c-4a9d-a758-706e11f365da	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	180	1	15293.360558	17.840305	5373	TRUE	15295.630146	4689	15.570717	804	10.761710	0.000000	88.617851	13.340322	88.617851	13.340322
HEK293T.fast5	2b371d0a-a266-4f6e-b9ac-f8994c2dfdd9	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	431	2	15420.979748	9.006640	2712	TRUE	15423.278552	2020	6.707835	372	11.495366	0.000000	80.178055	12.523567	80.178055	12.523567
HEK293T.fast5	046579a1-2a54-4c0d-98fa-4a3adc9916ce	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	460	4	15511.204183	24.423971	7356	TRUE	15513.044489	6802	22.583665	1564	12.070617	0.000000	86.848213	13.476447	86.848213	13.476447
HEK293T.fast5	2baf032a-0110-41ca-9286-04cc414525de	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	45	1	15404.577025	15.047809	4532	TRUE	15406.658699	3905	12.966135	837	10.149502	0.000000	101.958168	11.162310	101.958168	11.162310
HEK293T.fast5	2665f3b9-3e78-4c03-9296-2f9f69d7fbe1	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	51	3	15403.783201	18.358566	5529	TRUE	15406.442231	4728	15.699535	831	10.994269	0.000000	92.157120	12.523567	92.157120	12.523567
HEK293T.fast5	292718a6-b1c2-4238-9a71-9ba52ce7f24f	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	444	4	15304.990372	14.162351	4265	TRUE	15305.170651	4211	13.982072	839	9.652492	0.000000	81.811562	13.340322	81.811562	13.340322
HEK293T.fast5	2d785590-f6ae-42bc-ba34-c2e3133bf8d0	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	479	3	15345.052457	10.791169	3250	TRUE	15345.185259	3210	10.658367	560	9.508664	0.000000	85.895332	14.429327	85.895332	14.429327
HEK293T.fast5	138f9a01-230d-496f-ad4a-75284ef230a9	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	120	2	15428.200531	11.510956	3467	TRUE	15430.680943	2720	9.030544	655	10.856304	0.000000	95.424133	12.251315	95.424133	12.251315
HEK293T.fast5	270c299c-1dc1-4e12-a69f-d299b0461b54	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	345	4	15426.602258	13.025232	3923	TRUE	15428.203187	3441	11.424303	720	8.101184	0.000000	92.293243	15.790585	92.293243	15.790585
HEK293T.fast5	30e5adb6-dcdc-4f35-9a4c-77d25aaf9f5a	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	441	1	15347.100930	12.226760	3682	TRUE	15349.176627	3057	10.151062	574	7.852581	0.000000	88.345596	13.204196	88.345596	13.204196
HEK293T.fast5	27eca506-2b6e-4cab-b20e-86c85392f6e8	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	437	4	15517.204183	9.238380	2782	TRUE	15519.875498	1978	6.567065	463	8.809129	0.000000	95.696388	12.659693	95.696388	12.659693
HEK293T.fast5	25ce0a9e-3823-48fb-b8ee-df38e13c29f9	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	122	4	15370.247676	34.454515	10377	TRUE	15372.348938	9744	32.353254	2107	11.596153	0.000000	91.748741	13.884825	91.748741	13.884825
HEK293T.fast5	117feb88-bc68-48e2-a81e-0fd1dd05e675	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	252	1	15512.075033	15.832669	4768	TRUE	15514.076361	4166	13.831341	990	10.861422	0.000000	88.753975	15.382207	88.753975	15.382207
HEK293T.fast5	118f3f24-5012-4d6f-9601-fcd30e7581bf	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	148	3	15376.181939	14.695219	4426	TRUE	15377.890106	3911	12.987052	863	11.421312	0.000000	90.523613	13.204196	90.523613	13.204196
HEK293T.fast5	28f2c2ab-968d-49a9-8c78-8c0f8f0a808c	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	27	1	15350.353254	13.723772	4133	TRUE	15352.154050	3591	11.922975	768	10.963269	0.000000	85.486954	13.612573	85.486954	13.612573
HEK293T.fast5	30888821-27cd-4de8-a771-3ed24bca20f2	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	215	2	15368.511952	16.862550	5079	TRUE	15373.235724	3656	12.138778	353	8.739077	0.000000	91.068115	13.204196	91.068115	13.204196
HEK293T.fast5	26621c08-1ce8-49a0-9aca-37a47b8e7806	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	461	3	15495.148738	29.244356	8808	TRUE	15499.095950	7619	25.297145	1331	9.233597	0.000000	87.664970	13.884825	87.664970	13.884825
HEK293T.fast5	07507b8c-addc-413a-9e68-ca3b8f751c7a	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	162	2	15471.328353	17.940239	5403	TRUE	15471.461155	5363	17.807437	1445	12.857452	0.000000	83.717323	12.931944	83.717323	12.931944
HEK293T.fast5	1998ecb7-d1a9-4fda-bd3d-e64b6c4ff3b5	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	313	1	15330.850598	15.573041	4690	TRUE	15332.499668	4193	13.923971	663	9.708514	0.000000	85.759209	13.068069	85.759209	13.068069
HEK293T.fast5	3110b2cb-5a37-4047-9f48-37c88c3581b3	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	61	3	15320.963147	28.707503	8646	TRUE	15323.888114	7765	25.782537	1265	11.383198	0.000000	88.753975	14.429327	88.753975	14.429327
HEK293T.fast5	0ea5d97f-cbaa-42e6-bdf3-c76edcc9a88c	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	90	4	15348.029548	10.931607	3292	TRUE	15349.941567	2716	9.019588	624	11.078006	0.000000	92.429367	13.612573	92.429367	13.612573
HEK293T.fast5	0501ae68-c740-4852-af66-0f6b3de273f5	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	36	1	15367.502988	11.581341	3488	TRUE	15369.799801	2796	9.284529	585	10.973246	0.000000	90.251358	13.068069	90.251358	13.068069
HEK293T.fast5	22b608f3-2c77-4335-9f1b-699da1c417a8	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	428	3	15300.873506	16.616202	5004	TRUE	15303.601594	4183	13.888114	702	11.223070	0.000000	90.251358	13.204196	90.251358	13.204196
HEK293T.fast5	1a46ed10-a0ec-4a63-b119-18efe9ce237a	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	63	2	15402.104250	31.184595	9392	TRUE	15404.835325	8570	28.453519	1944	9.722611	0.000000	90.659737	13.612573	90.659737	13.612573
HEK293T.fast5	0d696913-52b2-4ac4-83c0-ae26de55cac1	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	367	2	15439.214807	6.972776	2100	TRUE	15440.817729	1617	5.369854	419	10.078691	0.000000	95.696388	14.565453	95.696388	14.565453
HEK293T.fast5	0e102192-db5f-470a-b503-3477803a9e5b	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	235	4	15449.656375	6.452855	1943	TRUE	15451.017928	1533	5.091301	333	9.887677	0.000000	93.110001	9.801052	93.110001	9.801052
HEK293T.fast5	1227a73c-0c9b-43e7-91a4-981ec7050775	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	45	1	15465.535193	7.401062	2229	TRUE	15467.544821	1623	5.391434	284	8.253871	0.000000	99.235657	10.890059	99.235657	10.890059
HEK293T.fast5	15290b67-da46-400b-94f3-c075e9e6eddd	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	344	3	15299.998672	29.719456	8951	TRUE	15302.313745	8254	27.404382	1560	12.132947	0.000000	84.261826	13.884825	84.261826	13.884825
HEK293T.fast5	2fea7b7c-04e8-41ff-ab5b-3ad3cf65ce83	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	373	1	15423.080345	26.825365	8079	TRUE	15425.030212	7492	24.875498	1880	11.289332	0.000000	90.795860	13.476447	90.795860	13.476447
HEK293T.fast5	0875b450-9f57-420b-b495-cbc38316203e	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	201	4	15349.230080	27.363546	8241	TRUE	15349.362882	8201	27.230744	1566	9.140784	0.000000	91.884865	14.157076	91.884865	14.157076
HEK293T.fast5	0a5a05c5-e9aa-4461-b0a8-161898c43e9c	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	280	1	15342.431607	22.826361	6875	TRUE	15344.365870	6292	20.892098	1629	11.880869	0.000000	87.664970	13.068069	87.664970	13.068069
HEK293T.fast5	0c5de1c5-0803-4d2f-bd61-cde39ec8b409	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	331	3	15361.313745	28.576361	8607	TRUE	15363.107238	8067	26.782869	1714	10.885983	0.000000	89.162354	13.204196	89.162354	13.204196
HEK293T.fast5	104a13ed-9c02-43ff-8e71-a64bbdb38491	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	385	1	15440.638114	15.205843	4580	TRUE	15440.842961	4518	15.000996	577	8.996620	0.000000	78.544548	11.162310	78.544548	11.162310
HEK293T.fast5	1092c65d-2f6b-4df0-b217-5303dcc89fbf	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	492	4	15469.232736	19.962483	6012	TRUE	15471.281541	5395	17.913679	1105	9.527310	0.000000	81.267059	12.115190	81.267059	12.115190
HEK293T.fast5	1685333a-129f-48d7-95c4-4fb0f5996f42	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	101	2	15495.650066	24.344622	7332	TRUE	15497.476096	6782	22.518592	1387	10.172126	0.000000	85.895332	13.748698	85.895332	13.748698
HEK293T.fast5	20c4d716-989e-452c-829b-903e84769cea	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	334	1	15467.661355	13.877490	4179	TRUE	15467.814409	4133	13.724436	555	9.411938	0.000000	81.130936	12.795818	81.130936	12.795818
HEK293T.fast5	05414375-0b5b-43a8-9849-020a78735ccf	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	318	1	15296.273572	27.164343	8181	TRUE	15296.736720	8042	26.701195	1413	10.155690	0.000000	83.172821	13.476447	83.172821	13.476447
HEK293T.fast5	0acb0223-7c56-4cec-ae92-3f4247130f12	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	290	3	15463.202191	61.037849	18384	TRUE	15464.872510	17881	59.367530	3741	9.727074	0.000000	85.214706	13.884825	85.214706	13.884825
HEK293T.fast5	306863d1-5ace-4b0e-8d79-15f4ef71339a	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	110	1	15486.125498	9.202191	2771	TRUE	15488.432603	2076	6.895086	399	11.257266	0.000000	95.288010	13.340322	95.288010	13.340322
HEK293T.fast5	18e6413d-cee7-4a5a-bde0-ec00426763e6	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	89	1	15424.321381	22.655710	6823	TRUE	15426.560425	6149	20.416667	1456	7.665087	0.000000	88.481720	9.937179	88.481720	9.937179
HEK293T.fast5	3864a332-1d48-413e-9e60-546d45263b83	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	403	4	15408.667663	7.457171	2246	TRUE	15410.550133	1679	5.574701	399	10.952756	0.000000	89.162354	11.570687	89.162354	11.570687
HEK293T.fast5	155ff6ae-129e-4937-bb54-8883f7a54602	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	288	1	15343.804781	24.585989	7405	TRUE	15346.214807	6679	22.175963	1717	12.207782	0.000000	85.214706	13.068069	85.214706	13.068069
HEK293T.fast5	25c77c15-ddc9-4dfc-87fe-742f0b24114e	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	84	1	15330.939907	17.748008	5345	TRUE	15331.114874	5293	17.573041	1153	10.850164	0.000000	81.130936	13.476447	81.130936	13.476447
HEK293T.fast5	3abd5036-1ed4-488f-b17d-1b3274161045	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	402	3	15494.560757	5.037849	1517	TRUE	15496.506308	931	3.092297	159	10.331356	0.000000	98.827278	11.979064	98.827278	11.979064
HEK293T.fast5	0bfaeff4-ff77-40d2-9651-ab5eb2363dc1	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	16	1	15415.493692	19.294821	5811	TRUE	15415.719124	5743	19.069389	1090	10.310690	0.000000	87.256592	13.340322	87.256592	13.340322
HEK293T.fast5	09d2feb6-e7b1-48bf-9324-faa16c3fcd13	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	30	4	15369.319057	34.578021	10414	TRUE	15369.515936	10355	34.381142	1100	7.352666	0.000000	88.617851	10.890059	88.617851	10.890059
HEK293T.fast5	25bc791e-9bc0-4e3b-ab02-7b6517476694	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	188	1	15344.173971	12.670983	3816	TRUE	15347.356242	2858	9.488712	533	7.902196	0.000000	100.733040	15.109956	100.733040	15.109956
HEK293T.fast5	3590d654-f870-4a98-905c-f6a7a41e75ea	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	42	3	15349.317397	36.879482	11108	TRUE	15349.556109	11036	36.640770	1486	11.716377	0.000000	86.031464	13.884825	86.031464	13.884825
HEK293T.fast5	15584224-febc-4ab1-a853-187110f302fa	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	241	1	15452.647410	15.761620	4747	TRUE	15452.893094	4673	15.515936	887	10.023609	0.000000	89.979103	13.748698	89.979103	13.748698
HEK293T.fast5	31d0f785-b8b5-4151-b86a-b735359d4332	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	322	1	15414.380810	12.054781	3630	TRUE	15416.309429	3050	10.126162	638	11.596834	0.000000	89.706856	13.340322	89.706856	13.340322
HEK293T.fast5	0c175e9b-2a47-41ed-84e1-b487ddbbaa1f	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	264	2	15321.012284	13.805113	4158	TRUE	15322.053785	3844	12.763612	1196	10.466979	0.000000	95.015755	14.701579	95.015755	14.701579
HEK293T.fast5	212bbf30-2e8a-4a2c-a2a1-98213fe97ea3	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	433	2	15328.635458	14.707835	4430	TRUE	15329.929615	4040	13.413679	837	9.592984	0.000000	97.738274	11.979064	97.738274	11.979064
HEK293T.fast5	069b8a69-f188-46ab-82ba-457991ed80f4	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	478	3	15357.999668	34.006640	10242	TRUE	15359.435591	9810	32.570717	2465	9.195347	0.000000	81.539314	13.476447	81.539314	13.476447
HEK293T.fast5	0b8814a9-5d87-4ec5-8c03-e4fc51bab8f9	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	483	1	15507.737052	12.091965	3642	TRUE	15507.901394	3592	11.927623	642	9.297792	0.000000	81.130936	12.387442	81.130936	12.387442
HEK293T.fast5	0d8f6d6c-cb0c-4134-9c1c-2aa7ded7463b	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	202	1	15458.762284	16.295485	4908	TRUE	15458.985724	4840	16.072045	1234	10.245158	0.000000	89.842979	13.340322	89.842979	13.340322
HEK293T.fast5	36bcefc3-a371-4dfb-a946-028be5799bc9	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	73	2	15340.887118	14.224436	4284	TRUE	15341.055113	4233	14.056441	937	7.474185	0.000000	83.581200	12.251315	83.581200	12.251315
HEK293T.fast5	2bc029c3-84b8-4ddf-b51f-4a649a4c2952	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	124	3	15342.443891	16.867198	5080	TRUE	15345.934927	4028	13.376162	806	10.122342	0.000000	87.120468	13.748698	87.120468	13.748698
HEK293T.fast5	05f8c52b-58a4-4fa3-9874-3f3ce3a17ff5	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	178	2	15430.042829	47.659363	14355	TRUE	15430.353254	14261	47.348938	2316	11.671762	0.000000	83.581200	11.298435	83.581200	11.298435
HEK293T.fast5	0955e616-7a3f-4c14-abbe-f1ae3ed29ecc	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	145	2	15427.627490	44.833333	13503	TRUE	15429.350930	12984	43.109894	2353	9.369569	0.000000	89.979103	13.884825	89.979103	13.884825
HEK293T.fast5	461d689f-7320-4c5d-813f-f8fec6123d84	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	63	2	15529.275896	10.520916	3168	TRUE	15529.496680	3102	10.300133	598	8.864256	0.000000	86.575966	13.068069	86.575966	13.068069
HEK293T.fast5	0dc2d59f-b5f2-484f-8708-08f9643d778d	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	182	1	15340.655710	18.981408	5717	TRUE	15342.168991	5261	17.468127	1260	11.634709	0.000000	89.979103	14.293201	89.979103	14.293201
HEK293T.fast5	1d4accd0-5e43-4207-bce2-f4eb4f038dae	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	161	4	15384.660027	25.476760	7673	TRUE	15389.049469	6351	21.087317	690	11.427717	0.000000	95.424133	13.340322	95.424133	13.340322
HEK293T.fast5	0fc86d31-bc81-4200-8860-c1decc6eb290	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	72	2	15454.733068	31.347942	9442	TRUE	15457.103586	8728	28.977424	1101	11.772317	0.000000	88.073349	14.973830	88.073349	14.973830
HEK293T.fast5	34cbe39c-ccf0-43fd-aa00-d41d83c0297b	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	336	4	15446.329017	18.929947	5701	TRUE	15448.651394	5002	16.607570	1267	11.241830	0.000000	92.701622	14.157076	92.701622	14.157076
HEK293T.fast5	378461fe-220f-4326-896b-dee96763db59	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	162	2	15489.286853	15.737052	4740	TRUE	15489.469788	4684	15.554117	797	9.754920	0.000000	86.575966	12.795818	86.575966	12.795818
HEK293T.fast5	407afefd-e3cd-4b91-8933-8f1173681d2e	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	427	2	15464.533865	13.340637	4018	TRUE	15467.142762	3232	10.731740	758	10.669576	0.000000	86.984337	14.293201	86.984337	14.293201
HEK293T.fast5	5a4963b3-3b1c-4033-8bfc-4c64d810c560	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	327	1	15340.059097	12.185259	3670	TRUE	15343.117862	2748	9.126494	674	11.520272	0.000000	87.392715	13.476447	87.392715	13.476447
HEK293T.fast5	5d21d465-0a0a-4cb9-a2bd-9aa45ca29815	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	210	4	15372.343958	9.651726	2907	TRUE	15374.483068	2262	7.512616	480	11.615447	0.000000	88.753975	13.612573	88.753975	13.612573
HEK293T.fast5	47aa02df-fcd9-4d1d-ad17-6a55745fe8cb	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	343	4	15317.125498	17.889442	5388	TRUE	15319.258300	4745	15.756640	1172	11.301003	0.000000	84.397949	13.748698	84.397949	13.748698
HEK293T.fast5	0c30eb0d-b2dc-4df0-b0e8-dc58c3ab1adc	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	429	2	15331.309761	15.896082	4787	TRUE	15334.624170	3789	12.581673	578	9.987605	0.000000	94.471252	12.523567	94.471252	12.523567
HEK293T.fast5	761d8fb6-628a-4e1d-b289-940c1345973c	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	391	1	15482.537185	11.686255	3519	TRUE	15485.179947	2723	9.043493	568	8.722960	0.000000	82.492195	13.612573	82.492195	13.612573
HEK293T.fast5	32cb3b13-9d44-4e38-8020-38b436f27618	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	315	1	15352.219124	19.643758	5916	TRUE	15354.056773	5363	17.806109	1374	11.008985	0.000000	81.267059	13.340322	81.267059	13.340322
HEK293T.fast5	33d79651-401b-4420-91d2-1b79bd686d83	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	293	3	15497.672643	9.524236	2868	TRUE	15499.163347	2419	8.033533	564	10.737967	0.000000	85.623085	12.659693	85.623085	12.659693
HEK293T.fast5	4182707d-1348-46ca-88cb-5fc4d1aa07ea	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	344	3	15344.859230	11.855578	3570	TRUE	15345.844622	3274	10.870186	553	9.624434	0.000000	83.581200	14.020950	83.581200	14.020950
HEK293T.fast5	474054d7-30d7-4ba0-9971-0b1f191ec1fe	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	378	2	15290.319389	31.949867	9623	TRUE	15294.031541	8505	28.237716	1412	9.651395	0.000000	94.199005	13.884825	94.199005	13.884825
HEK293T.fast5	9316896b-a739-457a-9d72-1a669cb00697	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	417	4	15388.041169	15.262284	4597	TRUE	15390.344290	3903	12.959163	900	11.438252	0.000000	91.340363	14.565453	91.340363	14.565453
HEK293T.fast5	8abe99a7-cc5b-4cee-a7e4-8930290f31ed	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	190	2	15352.055113	9.819721	2957	TRUE	15353.381806	2558	8.493028	670	8.081002	0.000000	87.120468	12.523567	87.120468	12.523567
HEK293T.fast5	3c124af5-0a88-4c0b-ae0c-17df92a18c88	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	213	2	15323.371846	19.461155	5861	TRUE	15323.371846	5861	19.461155	1191	9.038518	0.000000	80.858681	14.973830	80.858681	14.973830
HEK293T.fast5	11005f28-a3e0-42db-8bee-8f39030c8ac6	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	264	2	15376.466135	14.943227	4500	TRUE	15378.913679	3763	12.495684	506	9.503162	0.000000	100.733040	17.151842	100.733040	17.151842
HEK293T.fast5	1434ad16-efae-478d-a58e-96e65dd72e87	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	134	1	15478.342297	7.455843	2245	TRUE	15480.777224	1512	5.020916	321	9.036442	0.000000	83.989578	14.293201	83.989578	14.293201
HEK293T.fast5	175d53fc-7a8e-4842-9cad-7e96bc18f8fd	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	335	1	15351.479084	43.933599	13232	TRUE	15353.186919	12718	42.225764	3689	10.923081	0.000000	81.539314	12.659693	81.539314	12.659693
HEK293T.fast5	479f706a-3761-42ff-a639-8f8ee6d38f4f	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	510	3	15362.971780	17.351926	5226	TRUE	15364.531541	4756	15.792165	1063	11.724993	0.000000	88.890099	14.020950	88.890099	14.020950
HEK293T.fast5	1023a0cd-b649-4d11-adf5-527ca8794abe	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	317	1	15382.529880	23.804449	7169	TRUE	15382.663015	7129	23.671315	1111	11.355841	0.000000	82.083817	12.115190	82.083817	12.115190
HEK293T.fast5	30a72802-e71b-4b7e-bbad-cf82ed336416	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	402	3	15419.576029	41.407039	12471	TRUE	15419.576029	12471	41.407039	1115	9.792933	0.000000	82.900566	12.251315	82.900566	12.251315
HEK293T.fast5	30adc084-545e-4a60-b94f-ae857479e2ac	8d72848056ffc07081c9c470d3e3fe996c609c2b	0	226	2	15457.467131	8.736388	2631	TRUE	15457.599934	2591	8.603586	527	8.877912	0.000000	85.895332	13.612573	85.895332	13.612573
